geoid,dist_roadbed_pickup_feet,count,avg_pickup_dist_feet,building_block_int_dis_tbl_bulkdens
360050358002006,0.0,1,0.0,1.944092
360050360001000,0.0,1,0.0,1.861361
360050361003002,0.0,1,0.0,3.266768
360050365011000,138.159902543579,1,138.159902543579,3.731185
360050365013001,57.9281905945383,1,57.9281905945383,5.747342
360050365021003,0.0,1,0.0,0.0
360050365022000,0.0,1,0.0,3.78586
360050365022002,0.0,1,0.0,1.196375
360050369011001,0.0,1,0.0,5.064842
360050369011002,0.0,5,0.0,0.0
360050371001002,0.0,1,0.0,0.186271
360050371002005,0.0,1,0.0,4.930472
360050375042002,55.8550002455704,1,55.8550002455704,4.172844
360050375043002,0.0,1,0.0,4.535513
360050379001005,0.0,1,0.0,8.817714
360050381004001,13.000389594654903,1,13.000389594654903,3.1107009999999997
360050381006000,2.1005463881774897,1,2.1005463881774897,7.222467999999999
360050382002006,0.0,1,0.0,1.494271
360050383021000,0.0,1,0.0,20.666704
360050387001003,0.0,1,0.0,8.65081
360050387002000,0.0,1,0.0,2.793937
360050389001002,0.0,1,0.0,4.008578
360050389001005,0.0,1,0.0,3.568836
360050393002001,0.0,1,0.0,4.0664739999999995
360050395002001,7.328836578631378,1,7.328836578631378,3.174766
360050395002004,12.727274322946696,1,12.727274322946696,2.751309
360050395004000,0.0,1,0.0,0.009096
360050397001000,4.99490782914651,2,2.497453914573255,1.15393
360050397001003,3.0483450756461097,1,3.0483450756461097,3.3982580000000002
360050397001006,0.0,1,0.0,0.0
360050399013002,0.0,1,0.0,4.654187
360050399021000,0.0,1,0.0,5.752212
360050399023002,0.0,1,0.0,6.543362999999999
360050401003000,3.0778851491247403,1,3.0778851491247403,6.3422089999999995
360050401005000,23.289617069222,4,5.8224042673055,10.096848
360050403022000,0.0,2,0.0,6.797466
360050403031001,0.0,1,0.0,5.013737
360050403032000,0.0,1,0.0,5.858472
360050403043000,0.0,2,0.0,6.500124
360050405013000,0.0,1,0.0,5.110964
360050407012000,0.0,1,0.0,5.073364
360050409001002,0.0,2,0.0,0.387454
360050409002000,0.0,1,0.0,12.6554
360050411003000,14.0823451187708,1,14.0823451187708,4.415826999999999
360050419002000,0.0,1,0.0,5.92005
360050419004001,0.0,1,0.0,0.0
360050420001000,16.9428296153823,2,8.47141480769115,4.676141
360050421001001,0.0,1,0.0,11.400749000000001
360050421003000,19.128670622530308,6,3.188111770421718,5.71405
360050422001005,0.0,1,0.0,2.4673580000000004
360050425002000,0.0,1,0.0,7.374244999999999
360050425003003,5.20853816217266,1,5.20853816217266,0.051879999999999996
360050429021000,0.0,1,0.0,6.351692
360050429021001,5.09741396612231,1,5.09741396612231,5.708329
360050429022000,0.0,1,0.0,6.359818
360050431002001,0.0,1,0.0,7.076307000000001
360050431003000,0.0,1,0.0,6.71925
360050431004000,0.0,1,0.0,4.036789
360050431006000,0.0,1,0.0,7.472287
360050431007000,0.0,1,0.0,8.191104
360050431007001,0.0,1,0.0,8.374545
360050435001017,0.0,1,0.0,0.026894
360050435001018,0.0,4,0.0,0.011627
360050435001024,0.0,1,0.0,0.052534000000000004
360050435001031,18.638178826087803,1,18.638178826087803,0.015034
360050436002002,0.0,1,0.0,2.468409
360050449012005,7.17941308024347,2,3.589706540121735,2.928511
360050462011020,89.683146459002,1,89.683146459002,1.49879
360050484004008,0.0,1,0.0,1.518918
360470001001000,154.9121007159708,18,8.606227817553934,12.481010000000001
360470001001001,0.0,3,0.0,1.364061
360470001001002,6.47001660852038,4,1.617504152130095,3.54299
360470001001007,1.02415060651319,7,0.1463072295018843,0.0
360470001001012,0.0,1,0.0,4.52415
360470001001014,1.5109261058432002,10,0.15109261058432003,6.290916
360470001002000,7.900986215848261,2,3.9504931079241303,5.896386
360470001002002,19.9489665888623,1,19.9489665888623,10.968666
360470001002003,10.9809574371135,3,3.6603191457045,5.564376
360470001003000,0.0,4,0.0,0.0
360470001003002,0.0,9,0.0,5.863283
360470001003003,0.0,1,0.0,7.150699
360470001003004,0.0,2,0.0,6.6655619999999995
360470001003005,75.75781328298345,5,15.15156265659669,8.452784
360470001003006,45.427616440780795,5,9.085523288156159,9.552017
360470001004000,19.64155707960955,7,2.8059367256585075,25.469507
360470001004001,18.987086691870232,17,1.1168874524629548,15.978495
360470001004002,95.68213592749143,24,3.9867556636454764,37.671356
360470002001003,0.0,1,0.0,5.69445
360470002001015,0.0,1,0.0,0.0
360470003011000,0.0,1,0.0,8.994936000000001
360470003012000,16.928426165748597,2,8.464213082874299,22.741738
360470003012001,85.50474715140946,8,10.688093393926183,9.274931
360470003013000,60.54093658780229,4,15.135234146950573,12.260373
360470003013001,0.0,3,0.0,8.445313
360470003014000,49.2321077582942,1,49.2321077582942,0.8829799999999999
360470003014004,52.54174562052704,5,10.508349124105408,7.468533
360470003014005,2.1009851648063202,3,0.7003283882687734,6.974369
360470003015000,0.0,1,0.0,4.87441
360470005011000,284.5771015028401,15,18.971806766856005,40.758767
360470005011001,69.18129456248445,14,4.941521040177461,8.360142
360470005012000,26.507394717005496,4,6.626848679251374,14.745820000000002
360470005012001,83.15479505985324,7,11.879256437121892,9.980999
360470005013000,71.45901336589164,11,6.496273942353785,11.910933
360470005013001,25.888470264376803,7,3.698352894910972,7.560249000000001
360470005021000,264.2588229531012,48,5.505392144856274,14.494179999999998
360470005021001,50.56748007015224,9,5.6186088966835825,8.541477
360470005021002,120.50110766090565,28,4.3036109878894875,39.215334999999996
360470005022000,139.0753455269427,23,6.046754153345335,8.912555000000001
360470005022001,161.02552908152668,38,4.237513923198071,10.708739999999999
360470005022002,147.1026477165413,34,4.326548462251215,8.158828
360470007001001,16.083492996440302,10,1.6083492996440303,3.595311
360470007001002,18.10879728544902,10,1.8108797285449019,0.0
360470007001003,126.38443399273363,5,25.276886798546727,20.031673
360470007001004,4.53028792409368,17,0.2664875249466871,5.176618
360470007002000,13.65951558281493,4,3.4148788957037324,6.41903
360470007002001,45.143371358683005,2,22.571685679341503,6.303602
360470007002002,3.2007936659184404,1,3.2007936659184404,5.803008999999999
360470007003000,62.457644059321815,17,3.673979062313048,15.529627
360470007003001,0.0,2,0.0,6.185837
360470007003002,47.31315482574865,38,1.2450830217302276,5.659565
360470007003003,208.23197150953274,40,5.205799287738318,6.568915
360470009001000,130.49288215401359,16,8.155805134625849,21.000424
360470009001001,506.5189165358085,38,13.32944517199496,30.464668
360470009001002,231.7941202706998,24,9.658088344612493,24.467098999999997
360470009001003,115.15044566202448,24,4.797935235917687,18.515041
360470009001004,67.75130133162635,10,6.7751301331626355,31.883726
360470009001005,20.12434366392,8,2.51554295799,17.009294
360470009001006,46.61818539752104,13,3.5860142613477723,6.916759
360470009002000,81.3175602103693,14,5.808397157883521,19.047448000000003
360470009002001,142.762854595756,17,8.397814976220943,9.984955000000001
360470009002002,101.16515799823851,63,1.6057961587021987,5.496727
360470009002003,60.31119011974897,32,1.8847246912421554,16.743616
360470011001001,27.923365540660125,3,9.307788513553374,19.250532
360470011001002,1021.3891270404016,74,13.802555770816237,49.615138
360470011001003,359.26280958478264,32,11.226962799524458,9.221941000000001
360470011001004,0.0,2,0.0,0.0
